,date,year,month,day,estacio,station_name,lat,lon,no2_daily_avg
0,2018-06-11,2018,6,11,4,Barcelona - Poblenou,41.4039,2.2045,42.8
1,2018-06-11,2018,6,11,42,Barcelona - Sants,41.3788,2.1331,16.357142857142858
2,2018-06-11,2018,6,11,43,Barcelona - Eixample,41.3853,2.1538,59.6
3,2018-06-11,2018,6,11,44,Barcelona - Gràcia,41.3987,2.1534,43.2
4,2018-06-11,2018,6,11,50,Barcelona - Ciutadella,41.3864,2.1874,35.23076923076923
5,2018-06-11,2018,6,11,54,Barcelona - Vall Hebron,41.4261,2.148,17.933333333333334
6,2018-06-11,2018,6,11,57,Barcelona - Palau Reial,41.3875,2.1151,23.333333333333332
7,2018-06-12,2018,6,12,4,Barcelona - Poblenou,41.4039,2.2045,21.708333333333332
8,2018-06-12,2018,6,12,42,Barcelona - Sants,41.3788,2.1331,20.608695652173914
9,2018-06-12,2018,6,12,43,Barcelona - Eixample,41.3853,2.1538,48.0
10,2018-06-12,2018,6,12,44,Barcelona - Gràcia,41.3987,2.1534,46.43478260869565
11,2018-06-12,2018,6,12,50,Barcelona - Ciutadella,41.3864,2.1874,16.0
12,2018-06-12,2018,6,12,54,Barcelona - Vall Hebron,41.4261,2.148,17.333333333333332
13,2018-06-12,2018,6,12,57,Barcelona - Palau Reial,41.3875,2.1151,16.916666666666668
14,2018-06-13,2018,6,13,4,Barcelona - Poblenou,41.4039,2.2045,27.0
15,2018-06-13,2018,6,13,42,Barcelona - Sants,41.3788,2.1331,21.727272727272727
16,2018-06-13,2018,6,13,43,Barcelona - Eixample,41.3853,2.1538,43.57142857142857
17,2018-06-13,2018,6,13,44,Barcelona - Gràcia,41.3987,2.1534,39.1578947368421
18,2018-06-13,2018,6,13,50,Barcelona - Ciutadella,41.3864,2.1874,18.789473684210527
19,2018-06-13,2018,6,13,54,Barcelona - Vall Hebron,41.4261,2.148,16.142857142857142
20,2018-06-13,2018,6,13,57,Barcelona - Palau Reial,41.3875,2.1151,21.045454545454547
21,2018-06-14,2018,6,14,4,Barcelona - Poblenou,41.4039,2.2045,30.083333333333332
22,2018-06-14,2018,6,14,42,Barcelona - Sants,41.3788,2.1331,27.916666666666668
23,2018-06-14,2018,6,14,43,Barcelona - Eixample,41.3853,2.1538,62.19047619047619
24,2018-06-14,2018,6,14,44,Barcelona - Gràcia,41.3987,2.1534,47.54545454545455
25,2018-06-14,2018,6,14,50,Barcelona - Ciutadella,41.3864,2.1874,28.458333333333332
26,2018-06-14,2018,6,14,54,Barcelona - Vall Hebron,41.4261,2.148,25.416666666666668
27,2018-06-14,2018,6,14,57,Barcelona - Palau Reial,41.3875,2.1151,26.125
28,2018-06-15,2018,6,15,4,Barcelona - Poblenou,41.4039,2.2045,38.04347826086956
29,2018-06-15,2018,6,15,42,Barcelona - Sants,41.3788,2.1331,33.72222222222222
30,2018-06-15,2018,6,15,43,Barcelona - Eixample,41.3853,2.1538,64.95652173913044
31,2018-06-15,2018,6,15,44,Barcelona - Gràcia,41.3987,2.1534,58.476190476190474
32,2018-06-15,2018,6,15,50,Barcelona - Ciutadella,41.3864,2.1874,34.875
33,2018-06-15,2018,6,15,54,Barcelona - Vall Hebron,41.4261,2.148,34.541666666666664
34,2018-06-15,2018,6,15,57,Barcelona - Palau Reial,41.3875,2.1151,33.26086956521739
